"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-13","0.00",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-14","0.00",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-21","0.00",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-24","0.04",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-25","0.00",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-26","0.00",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-27","0.00",,,
"US1COBO0306","NIWOT 0.9 NE, CO US","2018-09-28","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-02","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-03","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-04","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-05","0.17",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-06","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-07","0.02",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-08","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-09","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-10","0.01",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-11","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-12","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-13","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-14","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-15","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-16","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-17","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-18","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-19","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-20","0.05",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-21","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-22","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-23","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-24","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-25","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-26","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-27","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-28","0.00",,,
"US1COBO0149","LONGMONT 1.7 NNE, CO US","2018-09-29","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-05","0.79",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-06","0.05",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-07","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-08","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-09","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-10","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-11","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-12","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-13","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-14","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-15","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-16","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-17","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-18","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-19","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-20","0.02",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-21","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-22","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-26","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-27","0.00",,,
"US1COBO0428","BOULDER 2.4 S, CO US","2018-09-28","0.00",,,
